Metabolite	MIDAS_ID	Pool	KEGG_ID	HMDB_ID	SMILES	KEGG_pathway_association
Glycolic acid	G_15	3	C00160	HMDB00115	OCC(O)=O	Glyoxylate and dicarboxylate metabolism;Carbon metabolism
S-(5-Adenosyl)-L-methionine	CNC_21_R	2	C00019	HMDB01185	C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12	Cysteine and methionine metabolism;Arginine and proline metabolism;Biosynthesis of amino acids;Sulfur relay system
DL-5-Hydroxylysine	H_3	3	C16741	HMDB00450	NC[C@H](O)CC[C@H](N)C(O)=O	Lysine degradation
Glyoxylate	20C_15	3	C00048	HMDB00119	OC(=O)C=O	"Purine metabolism;Caffeine metabolism;Glycine, serine and threonine metabolism;Arginine and proline metabolism;Glyoxylate and dicarboxylate metabolism;Carbon metabolism"
Oxaloacetic acid	20C_1	3	C00036	HMDB00223	OC(=O)CC(=O)C(O)=O	"Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Alanine, aspartate and glutamate metabolism;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Glucagon signaling pathway;Proximal tubule bicarbonate reclamation;Central carbon metabolism in cancer"
NADPH	CNC_192	4	C00005	HMDB00221	NC(=O)C1=CN(C=CC1)[C@H]1O[C@@H](COP(O)(=O)OP(O)(=O)OC[C@@H]2O[C@@H]([C@@H](OP(O)(O)=O)[C@H]2O)N2C=NC3=C(N)N=CN=C23)[C@H](O)[C@@H]1O	Glutathione metabolism;Thyroid hormone synthesis;Aldosterone synthesis and secretion
3-Hydroxypropionic acid	4C_11	3	C01013	HMDB00700	OCCC(O)=O	Pyrimidine metabolism;beta-Alanine metabolism;Propanoate metabolism;Carbon metabolism
L-Lactic acid	4C_3	3	C00186	HMDB00190	C[C@H](O)C(O)=O	Glycolysis / Gluconeogenesis;Fructose and mannose metabolism;Pyruvate metabolism;Propanoate metabolism;cAMP signaling pathway;HIF-1 signaling pathway;Glucagon signaling pathway;Central carbon metabolism in cancer
D-Glyceraldehyde	4C_5	3	C00577	HMDB01051	OCC(O)C=O	Pentose phosphate pathway;Fructose and mannose metabolism;Galactose metabolism;Glycerolipid metabolism;Carbon metabolism
D-Glucose 1-phosphate	20C_3	4	C00103	HMDB01586	OC[C@H]1OC(OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O	Glycolysis / Gluconeogenesis;Pentose and glucuronate interconversions;Galactose metabolism;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Glycerolipid metabolism;Glucagon signaling pathway
D-Glucose 6-phosphate	20C_5	4	C00668	HMDB01401	OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O	Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Galactose metabolism;Amino sugar and nucleotide sugar metabolism;Carbon metabolism;AMPK signaling pathway;Glucagon signaling pathway
D-Mannose 6-phosphate	20C_64	4	C00275	HMDB01078	O[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O	Fructose and mannose metabolism;Amino sugar and nucleotide sugar metabolism;Lysosome
D-Galactose 1-phosphate	20C_66	4	 C00446	HMDB00645	OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@H]1O	Galactose metabolism;Amino sugar and nucleotide sugar metabolism
D-Mannose 1-phosphate	CNC_69	4	C00636	HMDB06330	OC[C@H]1OC(OP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O	Fructose and mannose metabolism;Amino sugar and nucleotide sugar metabolism
D-Fructose 6-phosphate	F_6	4	C00085	HMDB00124	OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O	Galactose metabolism;Starch and sucrose metabolism;Carbon metabolism;AMPK signaling pathway;Glucagon signaling pathway;Insulin resistance;Central carbon metabolism in cancer
D-Raffinose	R_1	2	C00492	HMDB03213	OC[C@H]1O[C@@](CO)(OC2O[C@H](COC3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O	Galactose metabolism;ABC transporters
Guanosine 5-monophosphate	G_17	2	C00144	HMDB01397	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1	Purine metabolism;Antifolate resistance;cGMP-PKG signaling pathway;Olfactory transduction;Taste transduction;Phototransduction
